"[ 인터페이스가 편하고 업데이트가 잘되서 좋다.], 긍정 텍스트 확률 : 71.55%"
"[  코인원입니다. 좋은 지적 감사드립니다. 해당 기능은 여름중에 추가할 수 있도록 하겠습니다. 미체결 내역은 물론이고 더 추가된 기능을 더하여 업데이트 하도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 96.63%"
"[  코인원입니다. 이용에 불편을 드려 죄송합니다. 모바일 앱의 간편한 사용성을 위하여 간결하고 필요한 정보 위주로 제공하는데에 불편함을 느끼신 것 같습니다. 조금더 상세히 말씀해주시면 더 나아지도록 개선하겠습니다.  감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.14%"
"[  코인원입니다. 더 나은 거래엔진 제공을 위한 점검이 다소 길어진 점 죄송합니다. 이번 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 82.47%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트를 완료하였습니다. 거래엔진 변경으로 인한 점검이 있어 이용에 불편을 드린점 정말 죄송합니다. 이번 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 81.49%"
"[  코인원입니다. 날카로운 지적 감사드립니다. 매수 평균가는 매수 시 매수가와 입금 시 현재가를 기준으로 계산되고 있습니다. 이에 매도 시에는 매수평균가가 변동되지 않습니다. 곧 있을 자산기능 리뉴얼을 통해 보다 자산관리가 쉽도록 개선하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 96.21%"
"[  코인원입니다. 더 나은 거래엔진 제공을 위한 점검이 다소 길어진 점 죄송합니다. 이번 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 82.47%"
"[  가상계좌 발급시간은 코인원에서 지정한 시간이 아닌점 양해부탁드립니다. 부족한 부분 지적해주셔서 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 56.63%"
"[  코인원입니다. 프로차트 사용에 불편함을 끼쳐드려 죄송합니다. 그리고 좋은 지적해주셔서 감사드립니다. 문의주신 기능은 빠른 시일안에 적용하여 업데이트 하도록 하겠습니다. 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 91.07%"
"[  주소등록에 대해 절차를 편리하게 수정하겠습니다. 감사합니다. 코인원 팀 드림], 긍정 텍스트 확률 : 97.06%"
"[ 업뎃이후 오류로인해 불편했는데 해결되어서 좋습니다. 상장코인도 믿음가고 투자하는데 편리합니다.최고. 아쉬운점은 종가를 날짜별로 한눈에 살펴볼수 있도록 해주세용], 긍정 텍스트 확률 : 87.70%"
"[  코인원입니다. 오류 수정을 위한 업데이트를 진행중입니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 앞으로도 이용하시다가 불편한 점 발생 시], 긍정 텍스트 확률 : 94.16%"
"[  말씀해주시면 적극반영 하겠습니다. 코인원팀 드림], 긍정 텍스트 확률 : 67.78%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 거래화면 상단에 미니차트를 터치하시면 프로차트를 보실 수 있습니다. 불편사항 말씀해주시면 개선을 통해 더 편리한 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 94.50%"
"[  코인원입니다. 좋은의견 감사합니다. 현재 재실행 시 발생하는 오류 수정을 위한 업데이트를 진행중입니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 97.28%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 불편한 점을 말씀해주시면 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 81.56%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트2.1.1를 완료하였습니다. 보안모듈 업데이트를 통해 더 안전한 코인원 거래를 제공해 드리겠습니다. 또한 지속적인 업데이트를 통해 안정성을 강화하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 63.35%"
"[ 최고다 진짜 좋아졌다. 평단가하며 수익률하며 앱의 안정성까지 타 거래소와는 넘사벽임.], 긍정 텍스트 확률 : 96.49%"
"[  코인원입니다. 칭찬해주셔서 감사합니다.  지속적으로 유저의 피드백을 반영하여 최고의 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.48%"
"[  코인원입니다. 더 나은 거래엔진 제공을 위한 점검이 다소 길어진 점 죄송합니다. 이번 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 82.47%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트를 완료하였습니다. 거래엔진 변경으로 인한 점검이 있어 이용에 불편을 드린점 정말 죄송합니다. 이번 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 81.49%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트2.1.1를 완료하였습니다. 보안모듈 업데이트를 통해 더 안전한 코인원 거래를 제공해 드리겠습니다. 또한 지속적인 업데이트를 통해 안정성을 강화하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 63.35%"
"[ 접속이 안되고 계속해서 점검중 이라고 나와서 삭제후 재설치를 했는데 초기정보를 가져올수 없다고 나오네요], 긍정 텍스트 확률 : 70.56%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트를 완료하였습니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 83.26%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트를 진행중입니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 88.04%"
"[  코인원입니다. 칭찬해주셔서 감사합니다 더 편한 거래소], 긍정 텍스트 확률 : 88.82%"
"[  더 안전한 거래소가 될 수 있도록 노력하겠습니다. 개선점이 있으시면 언제든지 말씀해주세요], 긍정 텍스트 확률 : 60.48%"
"[  감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 89.09%"
"[ 업뎃후 재실행시 실행 않됨..재설치 시 첫실행에만 정상작동.], 긍정 텍스트 확률 : 78.29%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 재실행 시 발생하는 오류 수정을 위한 업데이트를 진행중입니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 90.69%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 불편한 점을 말씀해주시면 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 81.56%"
"[ 갤럭시 10에서 잘 접속 되네요 이제. 수고하셨습니다 ], 긍정 텍스트 확률 : 76.30%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트2.1.1를 완료하였습니다. 보안모듈 업데이트를 통해 더 안전한 코인원 거래를 제공해 드리겠습니다. 또한 지속적인 업데이트를 통해 안정성을 강화하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 63.35%"
"[ 앱 로그인할 때 비번 두번째 누르는 단계에서 자꾸 오류생김], 긍정 텍스트 확률 : 65.91%"
"[  코인원입니다. 짧고 간결한 피드백 감사드립니다.  감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.61%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트를 진행중입니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 88.04%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트를 진행중입니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 88.04%"
"[  코인원입니다 칭찬해주셔서 감사합니다.  더욱 사용하기 좋은 코인원 앱이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.18%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 오류 수정을 위한 업데이트를 진행중입니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 88.04%"
"[ 이번 업데이트 너무 좋아요 수익률도 나오고 전반적으로 이쁜 것같아요], 긍정 텍스트 확률 : 94.07%"
"[  코인원입니다. 칭찬해주셔서 감사합니다.  지속적인 업데이트로 더 이뻐지고 더 편리해지는 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 95.87%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트를 완료하였습니다. 거래엔진 변경으로 인한 점검이 있어 이용에 불편을 드린점 정말 죄송합니다. 이번 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 81.49%"
"[  코인원입니다. 칭찬 정말 감사드립니다. 모바일 앱은 간편하게 거래할 수 있어야 한다 가 주안점이었습니다. 더더욱 사용하기 편한 거래소가 될 수 있도록 노력하겠습니다. 개선점이 있으시면 언제든지 말씀해주세요 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 95.57%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 거래화면 상단에 미니차트를 터치하시면 프로차트를 보실 수 있습니다. 불편사항 말씀해주시면 개선을 통해 더 편리한 코인원이 되도록 하겠습니다. 만약], 긍정 텍스트 확률 : 74.21%"
"[  지속적으로 해당 기능 이용에 불편을 겪고 계시다면 고객센터로 연락 부탁드리겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 86.45%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트2.1.1를 완료하였습니다. 보안모듈 업데이트를 통해 더 안전한 코인원 거래를 제공해 드리겠습니다. 또한 지속적인 업데이트를 통해 안정성을 강화하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 63.35%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 불편하신 점이 출금화면 내 주소록 기능을 말씀하시는 것으로 생각됩니다. 추후 업데이트를 통해 지적해주신 사항 개선하도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 96.67%"
"[  코인원입니다. 이용에 불편을 드려 죄송합니다. 현재 업데이트를 통해 수정하였습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 95.43%"
"[  개선점을 찾기위해 다음 업데이트에는 접기기능이 추가될 예정입니다], 긍정 텍스트 확률 : 60.64%"
"[  더하여 더 나은 UIUX 가 있는지 계속 고민하고 개선해보겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 75.04%"
"[  알단 실행에러 ㅠ], 긍정 텍스트 확률 : 57.65%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 실행에러에 대해 지속적으로 개선중에 있습니다. 추가적으로 개선사항 말씀해주시면 지속적인 개선을 통해 더 편리한 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.11%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트를 완료하였습니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 83.26%"
"[ 자꾸 중지되고 복잡하고 앱을 몇번을 제거했다 다시 깔고있는건지ㅠ], 긍정 텍스트 확률 : 88.46%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트를 진행중입니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 88.04%"
"[  코인원입니다. 더 나은 거래엔진 제공을 위한 점검이 다소 길어진 점 죄송합니다. 이번 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 82.47%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트2.1.1를 완료하였습니다. 보안모듈 업데이트를 통해 더 안전한 코인원 거래를 제공해 드리겠습니다. 또한 지속적인 업데이트를 통해 안정성을 강화하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 63.35%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트를 완료하였습니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 83.26%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 거래화면 상단에 미니차트를 터치하시면 프로차트를 보실 수 있습니다. 프로차트에서 탭을통해 채팅창에 진입하실 수 있습니다. 만약], 긍정 텍스트 확률 : 80.45%"
"[  지속적으로 해당 기능 이용에 불편을 겪고 계시다면 고객센터로 연락 부탁드리겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 86.45%"
"[ 계속 초기정보를 못가져왔다고 고객센터에 문의하라는데... 흠..언제까지 기다려야할까요], 긍정 텍스트 확률 : 92.22%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트를 완료하였습니다. 거래엔진 변경으로 인한 점검이 있어 이용에 불편을 드린점 정말 죄송합니다. 이번 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 81.49%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트를 완료하였습니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 83.26%"
"[  코인원입니다. 불편을 드려 죄송합니다. 네트워크 환경에서 비롯된 문제인 것 같습니다], 긍정 텍스트 확률 : 65.73%"
"[  지속적으로 다운이 안되는 경우 고객센터로 연락주시면 지원 해드리겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 52.56%"
"[  코인원입니다. 이용에 불편을 드려 죄송합니다. 네트워크 환경을 확인하시고 다시 시도해주시겠어요? 지속적인 문제가 발생한다면 고객센터로 문의해주시면 빠르게 문제해결을 도와드리겠습니다. 코인원팀 드림], 긍정 텍스트 확률 : 59.83%"
"[  코인원입니다. 응원해주셔서 감사합니다.  지속적으로 피드백 반영하여 더 발전하는 모습보여 드리겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.37%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트를 진행중입니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 88.04%"
"[  코인원입니다. 좋은 평가 감사드립니다.  더 나은 코인원이 될 수 있도록 지속적으로 개선해나가겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 93.69%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트를 진행중입니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 88.04%"
"[  코인원입니다. 더더욱 믿음직한 거래소가 될 수 있도록 노력하겠습니다. 개선점이 있으시면 언제든지 말씀해주세요 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 97.51%"
"[ 빗썸보다 쓰기가 더 괜찮은 거래내역. 손실 이익부분이 상세하게 나옴], 긍정 텍스트 확률 : 75.15%"
"[  코인원입니다. 좋은 피드백 감사드립니다.  더 괜찮은 코인원이 될 수 있도록 지속적으로 노력하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 96.80%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 거래화면 상단에 미니차트를 터치하시면 프로차트를 보실 수 있습니다. 불편사항 말씀해주시면 개선을 통해 더 편리한 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 94.50%"
"[  코인원입니다. 모바일에 적합한 간편하고 쉬운 거래를 지향하고 있습니다. 이용중 제안사항이 있으시면 언제나 말씀해주세요. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 96.37%"
"[  코인원입니다. 감동스러운 멘트를 써주셔서 정말 감동했습니다. 오래도록 사용할 수 있도록], 긍정 텍스트 확률 : 96.21%"
"[  그리고 사용할수록 점점 개선되는 코인원이 되겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 93.37%"
"[  코인원입니다. 콕 찝어 좋은 점을 칭찬해주셔서 감사합니다 버튼하나하나], 긍정 텍스트 확률 : 87.46%"
"[  컬러하나하나 폰트 하나하나에 고민을 더하고 만들고 있습니다. 더 나은 코인원이 되도록 노력하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 73.06%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 고객센터와 협의하여 더 나은 상담 서비스가 될 수 있도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 86.57%"
"[  코인원입니다. 코인원을 사용해주셔서 저희야 말로 항상 감사드립니다. 더 나은 코인원이 되겠습니다. 코인원팀 드림], 긍정 텍스트 확률 : 85.81%"
"[  코인원입니다. 짧고 강력한 칭찬 한마디 정말 감사합니다.  더 나은 코인원이 될 수 있도록 힘내겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.74%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트2.1.1를 완료하였습니다. 보안모듈 업데이트를 통해 더 안전한 코인원 거래를 제공해 드리겠습니다. 또한 지속적인 업데이트를 통해 안정성을 강화하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 63.35%"
"[ 믿고하는 코인원], 긍정 텍스트 확률 : 73.25%"
"[  대표가 진짜 프로그래머에 탄탄한 모회사까지 타 거래소랑은 비교불가], 긍정 텍스트 확률 : 90.21%"
"[  코인원입니다. 믿고 갈 수 있도록 더욱 탄탄한 코인원이 되겠습니다. 응원 진심으로 감사드려요 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 99.96%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. OTP인증오류의 경우 고객센터를 통해 접수해주시면 최대한 빠르게 처리 도움드리겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 96.45%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 팅기는 현상 수정을 징행중입니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 95.07%"
"[  코인원입니다. 이번 업데이트를 통해 많은 부분 변화가 있었습니다. 불편사항 말씀해주시면 개선을 통해 더 편리한 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 96.47%"
"[  코인원입니다. 불편을 끼쳐드려 죄송합니다. 현재 실행 오류 수정을 위한 업데이트를 진행중입니다. 향후 지속적인 업데이트를 통해 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 88.04%"
"[  코인원입니다. 칭찬해주셔서 감사합니다.  모바일에 최적화된 사용자 경험을 지향하고 있습니다. 불편한 점 있으시면 언제나 제안해주세요 적극반영하여 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 97.80%"
"[  코인원입니다. 칭찬해주셔서 감사합니다.  사용하시면서 불편한 점 있으시면 언제나 제안해주세요 적극반영하여 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.61%"
"[  코인원입니다. 더 좋아 하실 수 있도록 지속적으로 개선하겠습니다 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 97.53%"
"[  코인원입니다. 짧고 간결한 피드백 짱짱 감사드립니다.  감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.61%"
"[  코인원입니다. 짧고 간결한 피드백 감사드립니다.  감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.61%"
"[  코인원입니다. 간결하고 직관적인 멘트로 칭찬해주셔서 감사합니다.  코인원 또한 더욱 직관적인 거래를 위해 개선해나가며 더 나은 코인원이 되도록 하겠습니다. 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 98.33%"
"[  코인원입니다. 더 빠르고 안전한 코인원이 되도록 힘내겠습니다 감사합니다. 코인원팀 드림], 긍정 텍스트 확률 : 85.84%"
