"[샤오미 미투 유모차를 사자는 거예요. ], 긍정 텍스트 확률 : 50.33%"
"[ 요즘 아침기상 시간이 점점 당겨진다], 긍정 텍스트 확률 : 63.20%"
"[ ..낮잠을 안겨서만 자길레 거실에 살포시 내려놨는데 저 자세로 꽤 오래잔다. ], 긍정 텍스트 확률 : 64.27%"
"[ ..아빠 쉬는날], 긍정 텍스트 확률 : 71.49%"
"[누가 뺏어먹을까 잽싸게 흡입한다.잘 먹어주는건 좋은데 씹어는 먹는겐지... ], 긍정 텍스트 확률 : 83.42%"
"[ 찍고나니 우리 거실 왜 저래?휑 하네 정말 살림도 잘하고 집도 예쁘게 꾸미고모델하우스처럼 애도 잘 키우는 엄마들 보면 대단하다 못해 존경스럽다.하루종일 애가 어지른거 뒷 정리에], 긍정 텍스트 확률 : 95.47%"
"[후딱 밥챙겨먹고], 긍정 텍스트 확률 : 65.75%"
"[ ..오늘은 새로장만한 휴대용 유모차에서 숙면.나름 찾아보고 튼튼하고 바퀴가 부드러운걸로 골랐는데샤오미 유모차샤오미에서 유모차도 나오나해서 주문했는데 생각보다 튼튼하고 핸들링이 엄청 부드러워ㅋ다만 안전바가 없긴한데], 긍정 텍스트 확률 : 90.57%"
"[얘는 계속 움직이고], 긍정 텍스트 확률 : 64.58%"
"[ 생각보다넓고 식물 종류도 많은거 같다.구경을 다하고 입장권을 다시 매표소에 내면 다육이를 준다], 긍정 텍스트 확률 : 88.58%"
"[저한테 말하고 지르기로 해노코 몰래사서 냉전중이거든요. 또 못사게 하면 몰래 지를 까바 겁나요. 휴대용은 내가 제일 많이 쓸건데 오빠가 기능 안따지고 디자인만 보고 고른건 내가 싫을것 같다. 좀 보고 결정하자 햣더니 남편도 불같이 화냇어요. 자기말에 한번도 동조한적이 없다며...ㅠㅠ... ...샤오미 유모차 후기 다른 블로그에서 퍼왓어요 어때 보이시나요?? ], 긍정 텍스트 확률 : 67.02%"
"[ 그래서 첨에 미밴드를 살까 고민할때아 과연 잘쓰려나?그때처럼 되는건아닌가 고민을 많이했거든요그래서 후기도 정말 많이보고전 아이폰이고 신랑은 삼성폰이라서 연동이 잘되는지 그런부분도 열심히 찾아보고또 를 살까 를살까 고민도해보고... ], 긍정 텍스트 확률 : 95.56%"
"[ 가 비교적 가격은 한 만원정도 저렴하더라고요 근데 방수가 가 더 강려크하게되고 배터리도 더 오래가고 그리고 대기화면도 내가원하는 모양으로 바꿀 수 있고 해서이왕이면 최신형을 사자고해서 쿠팡에서 를 샀네요결론적으로 매우 만족스럽습니다 신랑도 회사에서 유용하게 쓰인다고하고 저도 윤이보다가 전화가오거나할때이런거오면 솔직히 굳이 뛰어가서 안받아도 되잖아요미밴드로 이미 확인이 다 되고 문자 내용도 다 보이니깐 빨리 폰을 찾을 필요가 없어서 폰을 좀 멀리 하다보니 아무래도 육아하면서 교육상에도 좋을 것 같고 ㅎㅎ ], 긍정 텍스트 확률 : 51.64%"
"[ 그리고 예전에는 스마트워치가 정말 투박하고 크고 했는데요새는 이쁘게도 잘 나오네요 슬림하기도하고 밴드는 매탈도나오고 가죽도나오고다양하더라고요 ], 긍정 텍스트 확률 : 61.32%"
"[ 그리고 수면패턴 분석얼마나 잤고 또 몇시간은 깊게], 긍정 텍스트 확률 : 95.50%"
"[ 그리고 하루에 얼마나 걸었는지 만보기능도되서이게 숫자가 보이다보니까은근히 신경쓰여서 조금이라도 더 걷게 되더라고요 실제로 미밴드를 착용하고나서는 천보는 그래도 걸었어요집에있는날도 제자리걸음으로 유튜브 틀어두고서라도 걷고...저는 목표치를 천보로 잡았기 때문에 ㅠㅠ 좀 더 노력해야할 듯...밖에 나가는날은 천보 정도는 가뿐한데...ㅋㅋㅋ시계화면도 내가원하는걸로 변경이 가능하고이거는 어플로 합니다 이라는 어플로 가능하고요 저는 한국어가 가능한 버젼이기때문에손쉽게 가능... ㅎㅎ이게 한국어가 되는버전이있고 아닌게 있다고하니 구매하실때 그점 체크해서 구매하세요], 긍정 텍스트 확률 : 91.90%"
"[ 암튼 가성비 굉장히 괜찮네요이전에 샀던 만원정도하는 그 스마트워치보다 훠얼씬 낫고요다른후기들과 마찬가지로 저도 이거끼고 샤워하고세수하고 머리감고 다 했지만 작동 잘 됩니다배터리는 한번 충전했을경우 주정도는 가뿐히 가는거같아요한달에 두번정도 충전하면되겠네요 물론 그보다 오래갈수도 적게갈수도 있지만요사용자환경에 따라서... ], 긍정 텍스트 확률 : 62.25%"
"[ 아 그리고 타이머랑 스탑워치 기능이 있어서운동은 물론이고 라면을 끓이거나다른 그 외에 요리할때도 좋아요 ㅎㅎ설정해두고 팔목에 진동이 지잉지잉 울리면 끄면되니깐스마트워치 찾으시는분들은 좋은 선택이 될 것 같습니당 ㅎㅎ 앞으로 뭐 더 유용한 기능 찾으면 또 후기남기도록할게요 ], 긍정 텍스트 확률 : 93.55%"
"[ 샀네요 샀어...유모차도 물려받거나 중고 구입하려고 했는데워낙 저렴하게 나온제품이고물려받은건 차가없으면 갖고 다니기 불가능한 제품이라뚜벅이 엄마빠는 결국 유모차를 샀어요 .?뚜벅이뚜벅이 .?대중교통대중교통 .?유모차탑승유모차탑승 ], 긍정 텍스트 확률 : 73.92%"
"[ 첫 시승식어제 배송받아서 집에서 한번 펴보고첫 외출이었어요 ], 긍정 텍스트 확률 : 87.00%"
"[ 접혀져있던 유모차를 펴는거에요엄청 쉽게 펴지더라구요휴대하기 편하다고 하는데무게는 꽤 나가요설명서에는 .키로인가로 표기되어있는데아가가 그정도 체중인데아가보다 훨씬 무거운것같아요 ㅜㅜ중량을 정학히 재보지 못했는데전 들구 댕기지 못하겠어요.신랑이랑 함께 다닐때만 휴대하기로 했어요 ], 긍정 텍스트 확률 : 87.89%"
"[ 접는것도 엄청 쉽더라구요제가 접어봐도 어렵지 않게 접혀서접고 펴는건 정말 만점 주고싶은휴대용 신생아 유모차에요 .?휴대휴대 .?신생아유모차신생아유모차 .?경량경량 ], 긍정 텍스트 확률 : 99.58%"
"[ 요로케 생긴 가드요.좀 아쉽더라구요아기 선풍기를 걸어주거나 유모차 장난감 걸어줄때 초난감. ], 긍정 텍스트 확률 : 52.29%"
"[안녕하세요.입니다. ], 긍정 텍스트 확률 : 73.49%"
"[ 다만 이미 유모차는 있는 상태에서 가벼운 접이식 유모차를 찾고 있었던 것이었는데], 긍정 텍스트 확률 : 90.63%"
"[놀라운 가격약 만원대이었습니다. 이건 마음 한켠에 조용히 접어둘 수 밖에...두번째로는 요요 대비 저렴하지만 품질이 생각보다 좋아서 엄마들이 많이 찾는다는 대륙의 실수], 긍정 텍스트 확률 : 98.27%"
"[국민 유모차라는 요야 유모차도 있었습니다.], 긍정 텍스트 확률 : 69.95%"
"[핸들링이 좋은 것이 장점으로 꼽히는데 후기들을 보니 가성비도 좋고 많이들 만족하는 것 같았습니다. 다만 대놓고 그대로 카피한 것이 개성도 없고 무언가 아쉬워서 마음이 가지 않았고 계속 찾다보니 우리나라에서 중국의 유명?한 샤오미에서도 유모차를 판매하고 있었습니다. ], 긍정 텍스트 확률 : 84.41%"
"[샤오미는 협력사들도 많이 두고 있는데], 긍정 텍스트 확률 : 61.61%"
"[때문에 공홈에서는 조회되지 않습니다. 현재 샤오미는 가지 정도의 유모차를 팔고 있으나 특정 앱에서 구매가 가능함하지만 이 유모차는 공홈에서 직접 파는 제품이라 품질은 믿을 수 있었습니다. 다만 사기 전에 장단점을 비교해보기 위해 후기를 찾아보았는데 하나도 없는 것이 아쉬웠습었다. 왠만하면 유튜브에도 영상이 올라오는데 거기에도 자료가 거의 없었습니다. 어쩔 수 없이 촉을 믿고 구매하는 수 밖에...결국 아내를 설득하여 직접 구매하게 되었고], 긍정 텍스트 확률 : 80.67%"
"[공홈 주문 후 일만에 도착했다. 색상은 블랙을 사고 싶었지만 베이지핑크블루 가지 뿐이라 블루로 선택하였습니다. 가격은위안약 만원], 긍정 텍스트 확률 : 61.61%"
"[ 굉장히 튼튼한 프레임에 모든 천이 깔끔하게 조립되어 배송되어 왔고], 긍정 텍스트 확률 : 86.31%"
"[바퀴에 스프링 쇼바가 들어 있다는 점이었습니다. 쇼바는 개의 바퀴에 모두 들어가 있고 보이지 않게 잘 숨겨져 있습니다. 여러가지 유모차들을 태워봤지만 비교해봤을 때 핸들링도 매우 좋았습니다. 게다가 당연히 앞뒤로 원터치식 브레이크 기능도 들어가 있습니다. ], 긍정 텍스트 확률 : 63.98%"
"[ 중국에서 구매하다보니 설명서가 전부 중국어로 되어 있지만 그림으로 쉽게 알아볼 수 있게 그려져 있어 쉽게 따라할 수 있었습니다. 프레임에 달려 있는 천들은 모두 간편하게 탈부착이 가능한 점도 장점이었습니다. 단점은 프레임이 두껍다 보니 타 제품 대비 무게가 무겁다는 점이었는데], 긍정 텍스트 확률 : 89.20%"
"[들고 다니는 시간이 많지 않을 것 같았고 튼튼하다는 점이 그 단점을 상쇄할 수 있을 것 같습니다.아직 출장 중이라 아이가 탄 모습까지는 촬영하지 못하였는데 조만간 복귀하는데로 사용기도 올리도록 하겠습니다. 겨울이라 추워서 나갈 수 있을진 모르겠지만... ], 긍정 텍스트 확률 : 94.91%"
"[ 이상으로 제품 리뷰를 마칩니다.좋은 하루 보내세요 ], 긍정 텍스트 확률 : 91.21%"
"[안전바가 있을 것], 긍정 텍스트 확률 : 56.98%"
"[티바는 ...샤오미와 요야가 최종 후보였는데 샤오미는 기본 안전바가 없어서 탈락 ㅠ.결국 요야로 정하고 타오바오에서 원에 구매했다.세대가 많던데 그냥 제일 최근에 나온 요야 노블을 샀다.네이버에 검색해보면 요야 후기가 별로 없어서 궁금했는데 직접 써보니 그냥저냥 쓸만하다.가성비 괜찮다.특히 어떤 후기에서 핸들링 빼고 다 버린 유모차라고 하던데 ㅋㅋㅋㅋㅋㅋ공감된다 ㅋㅋㅋㅋㅋ장점은 아래와 같다.핸들링이 좋다.저렴하고 가볍다.기내반입이 가능하다.다른 유모차와 열심히 비교한 건 아니지만 시트가 넓다. 덩치 큰 편인 우리 아기가 앉아도 널럴하다.장바구니가 작아보이는데 은근 크다.단점은 아래와 같다.유모차 자체가 안정감이 없고 흔들거린다. 전에 쓰던 퀴드랑 비교돼서 그런지 왠지 불안한 느낌이다. 위험하다기보다 뭔가 허접한 느낌 ㅋㅋ접기가 힘들다. 이것도 퀴드랑 비교되는 부분인데 한 손으로 접기가 힘들다. 접을 때 눌러야 하는 부분이 뻑뻑해서 연약한ㅋㅋ 나는 두 손을 써서 힘을 많이 줘야한다. 남편도 뻑뻑해서 불편하다고 한다.접어놓을 때 잠가야하는 버튼이 있어 귀찮다. 접으면 그대로 유지되는 게 아니라 잠금장치를 꼭 잠가놔야 접힌 상태가 풀리지 않는다. 이것도 은근 힘이 들어가서 귀찮다. 특히 아기와 단둘이 나가서 택시를 타야한다거나 할 때 ㅠ 유모차 접으랴 아기 보랴 혼이 나간다.차양막이 짧다. 이 가격에 풀차양을 기대하는 건 난센스겠지.이러니저러니해도 돌 지나 막 타도 되는 유모차를 찾는다면 나쁘지 않은 선택인 것 같다.한국에 있었으면 저렴한 국산 유모차를 샀을 텐데 중국살이 중이라 ㅠ 어쩔 수 없는 선택이었다.중국 공산품을 사보니 국산이 최고다. ], 긍정 텍스트 확률 : 80.68%"
"[이브로쉐샴푸 에코글램샴푸 알로에수딩젤 입욕제셀카봉삼각대 돗자리셀카봉 돗자리 하나도 안썼어요 흑흑 셀카봉 펼 여유가 없더이다...생활용품지퍼백 비닐많이 빨대랑 휴지 물티슈 세탁세제 빨래망 유연제 일회용 비닐장갑지퍼백이랑 비닐봉지는 이리저리 활용도 높았고요 휴지물티슈는 거기서 사도 될듯해요 빨래망은 잘 썼고 세제랑 섬유유연제 작은 통에 담아갔는데 잘썼어요손톱깎이 옷걸이 맥가이버칼 과도 빨랫줄과도랑 손톱깎이 잘 썼어요 ㅎㅎ 햇반일회용포장국 노브랜드 반찬일회용으로 블럭으로 된 국 진짜 잘 먹었어요 개짜리 통 들고 갔는데 거진 다 먹었어요 햇반은 롯데마트에서 샀어요기저귀 방수기저귀 물티슈방수기저귀 팩짜리 들고 갔고요 기저귀는 한 개만 가져오고 나머지는 롯데마트에서 주문했어요 물티슈도 큰거 한통만 들고가고 나머진 샀어요낱말카드가져가기 퍼즐세트 사가기놀 장난감이 없어서 가져갔는데 잘 놀았어요 ㅎㅎ우비랑 장화 샤오미 우산우비랑 우산이 제일 쓸모없었어요 저처럼 차만 이용하실 분은 우비 놓고 가세요 필요없어요생리대가져가기 탐폰도 아주소분생리가 일주일 일찍 시작해서 아주 요긴하게 썼어요 개정도는 여벌로 가져가시는 것 추천합니다.아기간식챙기기야구르트 젤리마니 사탕마니사탕은 롯데마트에서도 추파춥스 팔아요 비행기에서 먹일 정도만 일단 사오심이 ㅎㅎ보냉병 얼음얼리는거 국통 휴대용 수저 작은반찬통얼음얼리는 거 잘 썼어요 ㅎㅎㅎ 나머지는 별로수세미 퐁퐁가서사도됨숙소에 있었어요 괜히 샀음 ㅎㅎㅎ바람넣는 욕조숙소에 욕조가 없어서요 그냥 고민하다가 안사갔는데 담엔 사갈수도 있을거 같아요 ㅎㅎ 주이상 되면요전자모기향 비오킬 베드버그약 개미약전자모기향 진짜 잘썼고요 개미 조금 있어서 비오킬 뿌렸더니 담날 다 사라졌어요 ㅎㅎ실내용 슬리퍼그냥 일반 슬리퍼 가져오셔서 안팎에서 신으심 될듯 해요여분폰 유심다행히 폰 분실 안해서 쓸일은 없었어요방수팩면세비가 많이와서 여권 넣는 용으로 사용했어요 수영장 갈때 좋을거 같아요 돈 조금 넣고 방키 넣어서 가면요가이드북 읽을책 몇권정말로 쓸모없었어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ차량용 햇볕가리개이것도 필요없었음 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ블루투스 키보드가서 후기 많이 쓰려고 했는데 잘 안되더라고요 ㅎㅎㅎ샤워기필터 꼭 챙기기북스님 글 읽고 안챙겼어요 별 탈 없이 다녀왔어요머리끈 삔머리끈은 없으면 넘 불편해서 개정도 챙겼어요 ㅎㅎ유모차 레인커버비오면 유모차를 안끌면 됩니다 ㅋㅋㅋㅋㅋ 쓸모없었음아이패드 차량거치대이것도 굳이?ㅋㅋㅋ카시트 휴대용잘 안앉아있는 아이라면 추천합니다... 근데 무거워요 렌트할 경우에만 달아놓고 써야 할거 같아요 설치했다 뺐다 번거로워요천기저귀 타올 수건몇개핸드폰 고속충전기 및 거치대이거 없었음 어떻게 살았을지 ㅋㅋㅋㅋㅋㅋ귀마개가져가기], 긍정 텍스트 확률 : 98.95%"
"[ 일단 박스에서 꺼내고 접힌 상태입니다.기내용인 만큼 정말 작습니다. 그리고 군더더기 없이 깔끔하게 접혀서 더 맘에 듭니다.], 긍정 텍스트 확률 : 93.71%"
"[ 샤오미유모차 등받이 뒷면이예요.이 버튼으로 등받이 각도를 조절할 수 있어요.그냥 줄을 땡겨묶으면 경사가 더 높아지는 간단한 원리예요.생각보다 아주 튼튼하더라구요. ], 긍정 텍스트 확률 : 51.45%"
"[ 발받침이예요.우리 봄이는 언제커서 저기에 발을 올리고 있을까요? ㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 51.12%"
"[ 우리 봄이는 지금 이렇게 펼쳐서 사용 중이예요.귀요미 발꼬락], 긍정 텍스트 확률 : 80.06%"
"[ 중요한 안전벨트당연히 끈길이 조절 가능하구요.가볍지만 정말 튼튼하네요. ], 긍정 텍스트 확률 : 55.66%"
"[들고 다닐 일이 있나요?생각보다 핸들링이 정말 부드럽고 바퀴가 안정적이다.기능이 간단해서 조작하기가 쉽다.기내용유모차 치고 정말 저렴하다.가성비 최고단점차양막 위쪽에 매쉬부분으로 햇빛이 들어오는데 가리기 어렵다.밑에 보조 바구니가 좁다.유모차 앞쪽으로 안전가드가 없다.컵홀더나 주머니 등 다른 악세서리가 없다.단점으로 생각한 안전가드와 악세서리는 직구사이트 등에서 저렴하게 판매중이라 따로 구매예정이예요.어쨋든 만원 초반대로 구매해서 이렇게 가성비 좋은 유모차는 없을 것 같네요.절충형 만원대 한대 사느니저는 막 쓰다가 부서지면 또 살까 하고 있어요.그 전까지는 잘 쓸 것 같아요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 93.88%"
"[..남편이 올해 초 직구로 구입한 샤오미 차량용 청소기 입니다. . 쓸데없는거 또 샀다고 뭐라했었던 기억이 나네요..개월 사용해보니 아이들이 있는 가정에서는 강추합니다..그동안 가장 유용하게 사용한 부분은 카시트에서 과자부스러기 청소할때 입니다. ], 긍정 텍스트 확률 : 84.60%"
"[ .이미 덕지덕지 말라 붙은 과자부스러기도 청소기 솔로 문지르면서 청소하면 잘됩니다. ], 긍정 텍스트 확률 : 66.99%"
"[한국인 중국인에아주 인턴에게는 어려운 코스인 우리 가족인데인턴을 혼자 일하게 해서수속까지 걸린시간이 무려 분 이상.뒤에서 따가운 눈총이 쏟아져..무진장 진땀뺐다.게다가....환승후 국내선은 아기가 있는데넓은자리 구매가 있는데도 별도 얘기를 안해주고자리도 띄엄띄엄 주는바람에정말 마지막에 고생했더랬다...일본에서 중국을 가는경우중국인 단체관광객은 따로 줄이 있으니개인줄인지 단체석인지 꼭 확인할것따로 안내는 해주지 않는다 ], 긍정 텍스트 확률 : 54.56%"
"[ 우리아기는..이번 비행이..벌써 몇번째인지아마 뱃속까지 합하면 번째정도다.그래서인지 다행히 잘 잠든다. .?아기와비행기아기와비행기 탈때 주의할점은아기용 벨트가 있는데개인 벨트에 연결해 착용하는거지만우리아기처럼 아직 앉지 못하면사실상 되게 불편한 편이다.그럴경우 아기띠를 매면따로 아기벨트를 하지 않아도 되는데꼭 아기띠를 단디 매줘야한다.우리아기는 아기띠를 매니 잘 잠들었지만..만약 깨어있다면 이착륙이 역시 고비다.엄청 징징거렸다. ], 긍정 텍스트 확률 : 99.88%"
"[ 중국남방항공 국제선은 구조였는데아저씨 한분이 옮겨주시면서 자리를 모두 우리가 차지했다.덕분에 정말 편하게 갈 수 있었다.아기는 아직 혼자 앉을 수 없는데요렇게 기대주니 잘 앉아서 놀다가 갔었다.장난감 하나정도는 챙겨주면 좋다.특히 이착륙시 징징거릴때...장난감으로 놀아주게된다.다시 환승광저우창더 국내선 이용이제 국내선 이용..환승 전 라운지 같은게 있는데속지말자...광저우 공항 무진장 크다.그래서 이걸 지나야 환승한 광저우 공항본 공항?이 나온다. ], 긍정 텍스트 확률 : 97.73%"
"[ 잠시 쉬어가는 코너.담요를 챙겨오란 이유가..이렇게 순간순간 아기를 눕힐 필요가 있다.그럴때 담요를 나는 아래 깔아주고 있다.여기서 잠깐 진짜..이번에 첨 알았는데환승이 있을경우 유모차를 꺼내주지 않는다.보통 유모차를 탑승전 승무원에게 주고 탑승하는데그러고서 꺼내주는줄 알았는데...놉만약 환승을 한다면 다시 꺼내주지않는다.즉 수하물 처리가 되서 마지막 도착지에서유모차를 받을 수 있는것오뫄갓.....그래서 아기띠로만 매고 다녔다.이후 지금은.?샤오미유모차샤오미유모차 구매캐리온이 가능해서 샤오미 유모차를세컨 유모차로 구매했다.캐리온 사이즈는 무조건 삼면의 합이 이하여야하는데대부분 접히는 유모차들도 사이라법적으로는 불허한 사이즈들이다.설명에는 캐리온이 가능하다고 적혀있더라도..그래서 엄격한 기준에 따르면 안되기때문에삼면의 합이 였던 샤오미유모차를 구매했다.환승이 있다면 반드시...캐리온가능 유모차 필수. .?한중부부한중부부 들 특히 참고하시길.....국내선 다들 타실거라 생각합니다..ㅎㅎ ], 긍정 텍스트 확률 : 97.02%"
"[ 광저우 공항 무진장 큼..유모차 없이 다니려니...나는 정말....산티아고 순례길을 걷는줄엄청난 배낭을 매고 걷는 기분이었다.근 분을 걸어서 환승게이트 도착.창더는 진짜 시골이라 그런지...설마설마했는데 정말 저 끝 유리창에 있는 게이트였다.끝 게이트..하하...자 충격의 국내선.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 96.38%"
"[ 그리고 다시 한국으로 돌아가는날다시 여정이 시작되었다.이번엔 제발 만만의 준비를 해보았다.국내선을 탈때는 넓은자리 필쑤여보 꼭 구매해.그리고 국제선 탑승시엔다시 베시넷 자리 가능한지..아니더라도 맨앞자리나 넓은자리 반드시최대한 앱으로도 구매해보고안되는건 카운터에서 이야기하기로 했다.창더광저우다시 국내선 이용국내선에서는 시엄니가 동행하기로.어려웠던.?아기와비행아기와비행 을 보시고선걱정이 앞서셔서 국내선까진함께 하시겠다고 하셨다. ], 긍정 텍스트 확률 : 98.58%"
"[ 엄니아버님국내선 이용을 한시간 일찍왔는데생각보다 수속밟는시간이 빠르다.물론...시골사람들이라새치기가 있을수 있어서긴장을 잔뜩 세우고 ㅋㅋㅋㅋㅋㅋ대신 번 고객이 되었다. ], 긍정 텍스트 확률 : 75.52%"
"[ 한시간정도 일찍와서..해가 뜨니 정말 멋진 하늘.너무 일찍왔다고 엄니는..ㅋㅋㅋ내가 외국인이고아기도 여행증에다가참 복잡한 가족이라 일찍왔는데생각보다 빠른 수속에 우리도 놀랬다. ], 긍정 텍스트 확률 : 67.95%"
"[ 어휴...남편이 구매해준 넓은자리ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ정말 레그룸 살것 같다.아기가 있으면...정말 넓은 자리 필수.비즈니스석은 아니더래도...반드시 이정도 넓은 자리는 필요하다. ], 긍정 텍스트 확률 : 70.91%"
"[ 재밌는건...왼쪽이 일반열 열오른쪽이 넓은자리 마지막열나는 마지막열을 앉았는데사실상 열하고는 같은 레그룸이다.엄니는 바로 뒷자리에 앉으셨는데레그룸이 같아서 왜 돈을 내냐며 ㅋㅋㅋㅋ열이라 같은거라고 설명드렸지만정말 민망할정도로 레그룸이 똑같았다. ], 긍정 텍스트 확률 : 99.10%"
"[ 혹은 픽업을 해야하는지 확인할것.그래서 내린 후가서 픽업 그 후 나갈 사람은 나가고환승 사람은 환승하는 형태이다.꼭 러기지 픽업해 가야한다. ], 긍정 텍스트 확률 : 89.93%"
"[ 광저우 공항은 정말 넓다.어마무시하게.... ], 긍정 텍스트 확률 : 66.84%"
"[ 자..탑승전에 아무래도기내식을 먹지 못할 거 같아서서브웨이 샌드위치를 픽업했다.베시넷 자리가 없다고 해서아기띠를 매고 있어야하니...책상을 꺼낼 수 없을 것이고그래서 샌드위치를 픽업했다.그러나 어차피 먹을 수 없었다 ], 긍정 텍스트 확률 : 89.70%"
"[ 만약 복도석이면 위안이란다..응?그냥 창가석에 앉았다.레그룸이 이번엔 정말 넓다.베시넷 가능한 자리인데왜 불가하단지 모르겠다.하지만 옆좌석이 모두 꽉차서...결국 베시넷 이용은 하지 않았다.게다가 이륙할때 애기가 엄청 울어서..예상치 못한 땀범벅이 되고 말았다.ㅠㅠㅠㅠㅠㅠㅠㅠ옆사람뒷사람이 싫어하는게 느껴짐미안해요 ㅠㅠㅠㅠㅠㅠ다행히 이륙 후 부터 잠들었다. ], 긍정 텍스트 확률 : 56.61%"
"[ 샌드위치는 커녕..진짜 물 한잔도 마시기 어려웠다.콜라로 간신히 당 충전을 하고..혹시나 깰까싶어 숨소리도 내지않고아주 얌전히 갔다..세시간을ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ하도 안먹고 안마시니승무원이 계속 챙겨주는데 진짜 고마웠다.이름을 결국 확인 못했지만...정말.?중국남방항공서비스중국남방항공서비스 는 가히 최고.늘 너무 감사할 서비스를 제공한다. ], 긍정 텍스트 확률 : 99.36%"
"[ 간신히 볼수 있던 하늘너무 멋졌다.먹고 마시진 못해도..이 어린아기는 얼마나 힘들까 싶었고어른도 힘든 환승일정이다보니...잘 견뎌주는 아기가 고마웠다.지난날 신나게 여행다닐때와는또 다른 느낌의 하늘을 만났다.이젠 이 아이와 늘 함께하겠지. ], 긍정 텍스트 확률 : 99.78%"
"[ 아기의 무사 도착야호 우리 정말 해냈다 ], 긍정 텍스트 확률 : 86.44%"
"[액상분유는 떠나기 하루전쯤잘 맞는지 먹여보는 것이 좋다.물은 보온병에 담아갈수 있다.중국 국내선 커스텀의 경우], 긍정 텍스트 확률 : 90.16%"
"[ 분유통 대신 액상분유 하나그러나], 긍정 텍스트 확률 : 73.33%"
"[안녕하세요남편 덕에 요렇고 저런제품들을 많이 만져보고 있는 초코레토입니다.요새같이 찌는 날씨에 꼭 필요한 아이템이 있지요. 바로 찬물을 담는 대야와 수박. 그리고 선풍기에요.맞습니다. 오늘은 선풍기를 하나 리뷰해볼 생각이에요. ], 긍정 텍스트 확률 : 99.41%"
"[ 바로 강원전자에서 나온 넷메이트 브랜드이란 클립형 선풍기인데요. 가격은 옥션 기준 원배송비 제외 입니다.], 긍정 텍스트 확률 : 55.38%"
"[ 이마저도 네이버에서는 검색이 안돼요. 다나와에서 검색이 가능해요. 이유로는 한번 특가로 온라인에 올라오면 항상 절판이 되고 인기가 너무 많은지라 줄 서서 사야 한다고 해요 ], 긍정 텍스트 확률 : 73.86%"
