"[ 이번주에도 어김없이 하이브리유모차꺼내들고 놀러갔다왔지용현재 승차하고 계신분은 우리집 둘째 두콩이너무 숙면하길레 집에서 지하주차장까지만 태웠어요 ], 긍정 텍스트 확률 : 63.31%"
"[무엇보다 핸들링이 넘 좋아서 가지고 다니는데 불편한 점이 없어서 외출할 때 항상 필수품이에요.달가량 항상 잘 사용했고 앞으로도 쭉 잘 사용할 하이브리드 캐비플러스 휴대용 유모차실사용하는 동안 정말 넘나리 만족했고 주위에 자신있게 추천하고 있어요 ], 긍정 텍스트 확률 : 99.56%"
"[ 울 하은이 한참을 걸으면서 좋아하더니 갑자기 유모차로 직진ㅋㅋ본인이 끌어보겠다고 난리에요. ], 긍정 텍스트 확률 : 95.16%"
"[ 키작은 아이가 휴대용 유모차를 끌어보려고 해서 엄마 아빠의 보호 아래에 직접 밀수 있게 해줬어요 ㅎㅎㅎ아기인형 유모차 이래서 필요한건가 싶은 생각이 들더라고요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 99.64%"
"[ 아빠랑 다정샷 연출도 가능하쥬ㅎㅎㅎ둘이 너무 사이가 좋아서 보는 엄마는 흐뭇합니다차양막을 많이 내려놨는데 그물 사이로 아이가 자고 있는지 확인이 가능해서 좋아요 ], 긍정 텍스트 확률 : 93.46%"
"[ 네... 자기 유모차를 자기가 밀겠다네요?요즘 하은이의 절친이 되어버린 캐비플러스 휴대용 유모차 ㅎ든든한 발이 되어주다가 든든한 장난감도 되어주네요 ㅎㅎ ], 긍정 텍스트 확률 : 78.23%"
"[ 가볍고핸들링 좋으니 아이가 밀어도무겁지 않았고 바퀴도 잘 굴러가더라구요 ], 긍정 텍스트 확률 : 94.42%"
"[ 역시 윰차는 앉아있을 때가 최고여ㅋㅋㅋ ], 긍정 텍스트 확률 : 93.92%"
"[ 까까먹으면서 편안하게 이동중인 울 딸래미 ㅋㅋㅋ ], 긍정 텍스트 확률 : 71.30%"
"[ 적당한 무게감과 안정적인 핸들링이 큰 장점인 휴대용 유모차 캐비플러스앞으로도 잘 부탁해 업체로부터 제품만을 지원받아 직접 체험 후 작성한 후기입니다 ], 긍정 텍스트 확률 : 84.51%"
"[.하루에 한번 이상은 꼭 보는 핫딜방에 올라온 휴대절충형 유모차.. .?하이브리드하이브리드 프리미엄.?휴대절충형휴대절충형.?유모차유모차 디자인에디션 제트블랙 .고급진 외형과 까지 쓸수있는 스펙], 긍정 텍스트 확률 : 60.52%"
"[ .접힌 모습을 보라.처음부터 이렇게 배송이 와있었던], 긍정 텍스트 확률 : 86.74%"
"[조립 필요없는 완제품..그냥 설명서 보고 펴기만 하면됐다. ], 긍정 텍스트 확률 : 79.07%"
"[운행이 너무 편하다. 핸들링 굿.차 트렁크에 실릴때도 휴대절충형이라 자리 많이 차지않는다..코끼리열차를 타려면 접어야해서 폴딩을 여러번 했는데], 긍정 텍스트 확률 : 94.44%"
"[한번에 되고 쉬워 편하다.몇번 버벅이긴 했는데 계속 사용하고 익숙해지면 너무 편할듯하다.첫째 둘째 모두 사용가능하니 너무 좋다.동물원에서 계속 걷기 힘든 첫째], 긍정 텍스트 확률 : 99.55%"
"[둘째 아기띠 매주고 유모차 태워주니 너무 잘타고 잠들기까지.단점은 등받이 다 세운 각도가 좀 아쉽다.둘째야 아직 어려 누운각도가 좋지만], 긍정 텍스트 확률 : 81.01%"
"[첫째가 쓰기엔 도까지 됐으면 훨씬 편했겠다 쉽다. 물론 살이라 바 잡고 앉아있긴 하지만 말이다. 세운 각도만 도까지 됐다면 완벽한 유모차였을것 같다..오른쪽 손잡이 한쪽이 올라가있는게 걸리긴한데 일단은 좀더 써보기로... ..내 느끼기엔 디자인과 접었을때 크기], 긍정 텍스트 확률 : 66.83%"
"[하이브리드 캐비 유모차ⓒ지한 ], 긍정 텍스트 확률 : 50.76%"
"[ 두달이 지나도 언제나 새것처럼 저는 하이브리드 유모차를 사용하고 있어요.때가 타면 확연히 티가나는 블랙색상이지만 오랜시간 트렁크에 놓고다녀도먼지한톨 묻어 나옴이 없던 하이브리드], 긍정 텍스트 확률 : 65.48%"
"[ 덕분에 언제나 깨끗한 유모차를 사용하고 있지요. ], 긍정 텍스트 확률 : 58.09%"
"[ 두달간 하이브리드 유모차를 사용하면서 제가 느낀 장점을 최대한 알려드릴게요 ], 긍정 텍스트 확률 : 60.90%"
"[ 가장먼저 자형 안전가드를 통해 아이가 더 안전한 유모차 탑승을 할수 있도록 도와주며아이가 유모차에서 밀려내려가지 않도록 방지해줘요. ], 긍정 텍스트 확률 : 61.14%"
"[ 성인 남자가 주행해도 모자라지 않은 유모차의 사이즈가 엄마의 손목통증을 줄여줄수 있으니엄마들이 꼭 선택해야할 유모차가 아닐까 싶어요더욱이 지금껏 두달간 사용하면서 가장 편리하게 이용했던 기능은 바로 폴딩어디서든 쉽고 편리하게 한손폴딩이 가능하고어깨에 메고 좁은 도심거리도 활보할수 있을만큼가벼워서 더욱더 유모차를 한번이라도 더 사용하게 되는 매력이 있어요. ], 긍정 텍스트 확률 : 75.52%"
"[ 가방걸이 하나 구입해서 달아줬더니 무거운 가방을 걸어도 뒤로 넘어가는일이 없어요.그만큼 견고한 프레임과 무게분산설계로유모차가 뒤로 넘어가는일이 없도록 되어있다는 거죠 ], 긍정 텍스트 확률 : 54.15%"
"[ 그래서 더욱더 유모차가 주행중일때 특히나 흔들리거나], 긍정 텍스트 확률 : 91.96%"
"[ 하이브리드 유모차와의 외출중 가장 기억에 남았던 파라다이스 시티호텔볼거리가 많아서 마음에 쏙 들었는데요실내다보니 찬바람을 막아줘서 유모차를 사용하기에 더욱더 좋았어요 ], 긍정 텍스트 확률 : 99.08%"
"[ 보면볼수록 너무 신기한 공간 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 67.63%"
"[ 완벽한 핸들링까지 자랑하는 캐비유모차정말 휴대용 유모차중 최고의 제품이라고 저는 자신있게 말할수 있을정도에요 ], 긍정 텍스트 확률 : 99.73%"
"[ 안정적인 주행 굳 ], 긍정 텍스트 확률 : 97.62%"
"[ 두달간 멋진 외출을 책임져준 하이브리드 캐비유모차 즐거운 여행], 긍정 텍스트 확률 : 98.30%"
"[ 본 리뷰는 업체에서 제품을 무상제공받아 작성한 리뷰입니다 .?하이브리드유모차하이브리드유모차.?하이브리드캐비하이브리드캐비.?휴대용유모차추천휴대용유모차추천.?절충형유모차추천절충형유모차추천.?신생아유모차신생아유모차 .?안전한유모차안전한유모차.?아기유모차추천아기유모차추천.?디럭스유모차디럭스유모차.?하이브리드하이브리드.?위틀스토어위틀스토어], 긍정 텍스트 확률 : 78.12%"
"[다음포스팅에 혹시 실버크로스나 하이브리드 고민하시는 분들이 있으시면 비교 하실 수 있게 한번 비교하는 포스팅을 해볼까해요도움이 되셨으면 좋겠어요 ♥], 긍정 텍스트 확률 : 99.40%"
"[ 제가 따로 올렸던 실버크로스 제트 후기예요. 실버크로스는 폴딩이 엄청나게 작게 접히고 무게도 무지 가벼워요그래서 반해서 샀어요 ], 긍정 텍스트 확률 : 60.72%"
"[ 제트도 핸들링이 아주 좋아요제가 올렸던 제트 포스팅을 보시면 동영상이있는데], 긍정 텍스트 확률 : 59.69%"
"[ 그리구 이 크고 단단한 바퀴 보이시죠?이 바퀴가 아마 휴대용 중에서 가장 큰걸로 알고있어요. 휴대용인데도 불구하고 이렇게 큰 바퀴를 가지고 있으니 안정적인건 당연하겠죠? ], 긍정 텍스트 확률 : 57.44%"
"[ 핸들 높이가 높아서 너무 좋아요제 키가 정도 되는데], 긍정 텍스트 확률 : 93.10%"
"[실버크로스 제트는 살짝 낮은 감이 있었거든요. 근데 하이브리드는 높아서 팔도 걸칠수가 있더라구요ㅋㅋㅋㅋㅋㅋ그리고 아까 제가 언급한 동급 최대바퀴그렇다보니 안정적인 드라이빙이 가능할수 있는거죠아니 휴대용인데 이렇게 안정감이 있다니], 긍정 텍스트 확률 : 66.51%"
"[크게 차지하지 않아서 좋아요이것이 디럭스급 드라이빙의 장점을 가진콤팩트한 바디인것이죠], 긍정 텍스트 확률 : 70.13%"
"[ 다음 포스팅엔 또 다른 비교 포스팅으로 써볼게용], 긍정 텍스트 확률 : 85.77%"
"[ 본 포스팅은 업체로부터 제품만을 제공받아 작성되었습니다.], 긍정 텍스트 확률 : 63.97%"
"[차를 바꾼지 달이 조금 넘었다 원래 타던 모닝을팔고 기아 니로 하이브리드로 차를 구매 했다 신랑이 어떤 지인분에게 니로 하이브리드 차에 대해 듣고 오더니 니로하이브리드 차 사자고 ㅋㅋ그리고 구매를 했다 우리는 두번째 단계를 샀다], 긍정 텍스트 확률 : 91.53%"
"[ 첨에 색상을 어떤걸로 할까 하다가 결국 제일 무난한 흰색으로 구매 했다 흰색을 할경우 추가 요금이 조금 더 있다 나는 검은색 사고 싶었는데 사고 나니 흰색 사기를 잘 한거 같다], 긍정 텍스트 확률 : 56.30%"
"[ 니로 하이브리드는 앞모습이 진짜 안이쁘다고 생각 했는데 보면 볼수록 매력있고 이쁘다 ㅋㅋㅋ ], 긍정 텍스트 확률 : 92.97%"
"[ 내부도 생각 보다 많이 넓다 하이브리드 차에 대해 전혀 몰랐는데 하이브리드 너무 좋다 다음에 또 차를 바꾸게 된다면 하이브리드 차를 구매 할것임], 긍정 텍스트 확률 : 96.09%"
"[ 우리는 두번째 단계를 구매 했기 때문에 열선이 앞좌석만 된다 뒷자석은 열선이 되지 않는다], 긍정 텍스트 확률 : 72.34%"
"[ 큰유모차를 선물받았었지만], 긍정 텍스트 확률 : 54.66%"
"[ 잠깐 라이언에 빠져서 집에 대형 라이언이 있어서 울 애기 타기전에 탑승한번 시켜봤어요 라이언이 얼굴이 크지만 딱 맞게 들어가더라구요 ㅎㅎ그리고 갤된 아들내미 인증샷 ], 긍정 텍스트 확률 : 81.79%"
"[ 안전벨트가 있지만 사진에서 보이는 안전가드바가 있어서아직 스스로 허리를 사용하지 못하는 애기를 좀 편하게 해주었습니다.추가적으로 다리각도가 조절이 되어서], 긍정 텍스트 확률 : 82.98%"
"[ 아기의 크기에 따라 단 조절을 할 수 있습니다. ], 긍정 텍스트 확률 : 75.02%"
"[ 가을이 시작되었는지], 긍정 텍스트 확률 : 56.65%"
"[저희 유주도 이제개월 을 지나는 중이에요.얼마전 코엑스 베페 가서휴대용 유모차사려고다 태워보고 비교해보고 하다가몇 가지 아쉬운 점들이 있어서구매하지 않고 돌아왔어요 그런데], 긍정 텍스트 확률 : 96.19%"
"[ 그 아쉬운 점들을 보완한 휴대용 유모차가하이브리드 유모차 였어요휴대용 유모차로 추천해요], 긍정 텍스트 확률 : 51.26%"
"[ 언제나 기다려지는 택배 박스], 긍정 텍스트 확률 : 91.76%"
"[ 이제는 애기 물건 열어볼 때가가장 설레네요...웃어야할지 울어야할지ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 53.88%"
"[ 아주아주 개인적인 저의 의견 유주의 개인적인 승차감 취향 ㅋㅋ미세먼지 뚫고 코엑스까지 갔다가딱 마음에 드는 게 없어서아무것도 못 사고 돌아왔어요. 이렇게 가셔서 휴대용 유모차 비교해보는 것도괜찮은 것 같아요 ], 긍정 텍스트 확률 : 82.48%"
"[ 그리고 저의 아쉬운 점들을 보완한휴대용 유모차 ], 긍정 텍스트 확률 : 63.32%"
"[ 엄마], 긍정 텍스트 확률 : 53.00%"
"[ 휴대용 유모차 답게아주 컴팩트하게 폴딩된 모습이구요], 긍정 텍스트 확률 : 55.68%"
"[ 옆 선이 고급스럽고 예뻐요 심플하고 고급스러운 거 찾는 중이었는데취.향.저.격 ], 긍정 텍스트 확률 : 66.98%"
"[ 무엇보다], 긍정 텍스트 확률 : 69.95%"
"[ 여자 혼자 핸들링 하기에는 조금 무겁다는 점이에요.이거는.으로 가벼우면서도셀프스탠딩이 가능하고], 긍정 텍스트 확률 : 72.75%"
"[폴딩언폴딩이 너무 쉽다는 점이에요], 긍정 텍스트 확률 : 63.91%"
"[ 한 손으로 폰 들고 한 손으로 핀 동영상이에요.원터치 텐트처럼 들어올리면 알아서 쑥 펴져요ㅎㅎㅎ ], 긍정 텍스트 확률 : 94.33%"
"[ 완전히 펴진 모습이구요 옆 라인이 참 고급스럽고예뻐요], 긍정 텍스트 확률 : 91.58%"
"[ 이 전에 유모차 써보신 분들은 아시겠지만요장바구니 ㅋㅋㅋㅋ진짜 요 긴하게 쓰이잖아요 저도 나가면 항상 저기 한가득 ㅎㅎㅎ외투부터 쇼핑한 물건들 까지], 긍정 텍스트 확률 : 90.97%"
"[ 넓으면 넓을수록 좋은데엄청 넓어요ㅋㅋㅋ휴대용 유모차 비교할 때], 긍정 텍스트 확률 : 69.82%"
"[ 가장 중요한 가지 요소 중 하나였어요ㅋㅋㅋㅋ 다들 넘 작아서 아쉬웠거든요하이브리드 유모차는장바구니도 짱짱], 긍정 텍스트 확률 : 81.30%"
"[ 이 캐노피도 확장시키면 매쉬소재가 나와요 이 부분으로 우리 아가 잘 있는지 확인도 할 수 있어요 ], 긍정 텍스트 확률 : 97.41%"
"[ 앞바퀴는 노면이 고르지 못한 곳을 다닐 때는바퀴가 돌아가지 않게 똑딱이를 눌러 고정시킬 수 있어요사실], 긍정 텍스트 확률 : 93.92%"
"[ 하이브리드 유모차 휴대용이라고 하기에는..양심에 찔려요 ㅋㅋㅋㅋ승차감면에서나 기능면에서나디럭스랑 다를 게 없어요너무 좋쟈나 ], 긍정 텍스트 확률 : 60.47%"
"[ 신랑은 바퀴부분이 넘 멋있대요], 긍정 텍스트 확률 : 64.39%"
"[ 요 손잡이 탈부착 가능해요 아랫쪽에 버튼 누르고 빼면 쏙 빠져요지금 쓰고있는 유모차가 이게 없어서조금 불편했어요.아기가 슬슬 미끄러져 내려오더라구요ㅠㅠㅠㅠ그런데 하이브리드 유모차는손잡이가 달려있어서 미끄러져도 걱정없어요], 긍정 텍스트 확률 : 90.73%"
"[ 그리고], 긍정 텍스트 확률 : 70.21%"
"[ 이런 소재들이 맘에 들었어요 손잡이 부분이 가죽으로 되어있어서떼 탈 걱정 안해도 된대요], 긍정 텍스트 확률 : 60.93%"
"[ 하이브리드 유모차 개봉 기념으로집에서 태워봤어요ㅋㅋㅋㅋㅋ아주 제 집처럼 편안해하네요 디럭스나 절충형 있으시면휴대용 유모차 추천해요 디럭스 유모차 갖고 다닐 때], 긍정 텍스트 확률 : 78.41%"
"[ 백화점 엘리베이터 탈 때나카페같은 데 가서 자리차지 많이 해눈치 보였는데이제휴대용 유모차 인하이브리드 유모차끌고 다녀야겠어요 구매는 위틀스토어 에서 하실 수 있습니다 ], 긍정 텍스트 확률 : 69.25%"
"[ 유모차추천], 긍정 텍스트 확률 : 79.58%"
"[ 유모차추천], 긍정 텍스트 확률 : 79.58%"
"[ 디럭스유모차추천], 긍정 텍스트 확률 : 79.58%"
"[한 여자의 아내가 되어서 한 아이의 엄마로 지내다 년 월 두 아이의 엄마가 된 도주별 두 식구에서 네 식구가 된 저희 가족이에요도연이 하나 키울 때는 그저 간편한 거 ㅋㅋ 가격 비교해보고 ㅋㅋㅋㅋ 가성비 갑인 걸 찾아서 사용하게 되더라고요 ㅋ근데 ...... 아이가 둘되니 뭐든 선택하는 게 쉽지 많은 않더라고요 ..ㅠㅠ둘째가 태어나고 나서 유모차를 하나 준비했는데 ... 사용하다 보니... 단점들이 너무 많아서 ㅠㅜㅜ이건 아니다 싶었거든요 ㅠㅜㅠㅜ그래서 유모차를 바꿔줘야 하나 ...? 고민을 좀 했거든요 그런데 ㅎㅎ 대박 템이 나왔다고 하더라고요위틀 스토어에서 나온 휴대용 유모차 하이브리드 캐비 ], 긍정 텍스트 확률 : 56.03%"
"[브라운스톤 도주별이 선택한 컬러는 샤인 블랙 모던하면서 화려하지도 않고 ㅎ 심플한 컬러 ], 긍정 텍스트 확률 : 75.43%"
"[ 박스에 이쁘게 포장되어온 유모차 박스가 커서 사이지가 큰 건 아닐까 내심 불안불안했어요 ㅎㅎ아이가 둘이면 ㅜ 짐이 많기 때문에 ㅜㅠ 유모차를 못 가지고 다니는 거 아닌가 하는?ㅋㅋ제가 하이브리드 캐비를 홀릭 할 수밖에 없는 건 ㅎ 휴대용 와 절충형이 하나로어디든 이동이 편한기동성 편리한운반과 보관쉽고 빠른폴딩 안전을 위한내구성 향상된드라이빙아이 성장맞춤 시트월에 ㅎ 친정식구들 가족 여행을 계획 중이거든요 ㅎ그래서 기내도 반입이 가능한지도 중요했고 ㅋㅋ 무게 등 핸들링과 사용하는데 불편함이 없어야겠더라고요 저희가 클 때만 해도 엄마들이 디럭스 절충형], 긍정 텍스트 확률 : 90.31%"
"[ 견고한 섀시 설계와 내구성으로 차체 흔들림을 최소화하고 까지 안전하게 승차할 수 있는 견고한 섀시유모차에 주어진 무게가 고르게 분산될 수 있도록 설계되어 주행 중 쉽게 흔들리거나 넘어지지 않도록 되어있고큰 뒤바퀴로 향상된 주행 안정감앞바퀴 .인치 앞바퀴에 비해 .배 큰 .인치 뒷 바퀴로 높아진 승차감을 자랑하고바퀴 독립 서스펜션이 흙길의 진동부터 울퉁불퉁한 자갈길까지 노면에서 받는 충격을 흡수 완화시키기까지 볼베어링 장착으로 바퀴 회전 시 마찰을 줄여주고 엄마 손목에 부담을 덜 가게 해주기까지앞바퀴에 레버가 있는데 직선 주행할 때는 앞바퀴를 고정해서 ㅎ 더 수월하게 이용할 수 있다는 점 ], 긍정 텍스트 확률 : 99.92%"
"[ 단 풀 캐노피와 메시 통풍창이 되어있어서 ㅎ 아이의 상태를 확인 가능하게 하고 손목에 부담을 줄여주는 인체공학적 디자인에 가죽 터치감으로 편안함 그립감을 갖춘 ㅋㅋㅋ ], 긍정 텍스트 확률 : 62.82%"
"[ 넓은 장바구니 ㅋㅋ 아이 둘 데리고 다니면서 ㅜㅠ 짐을 들고 다닐 수가 없는데 ㅋ 장바구니마저 ㅜㅠ 좁으니까 ㅜㅠ 진짜 환장하겠더라고요 ㅎ까지 실을 수 있는 ᄒᄒ 널찍한 장바구니까지 ㅋㅋㅋ 너무나 좋은 것], 긍정 텍스트 확률 : 99.23%"
"[ 자라나는 아이를 생각해서 만든 여유 있는 좌석 공간 탄탄한 내 부재에 폭신함을 더한 바른 자세 쿠션 시트다리가 흔들리지 않게 받쳐줘 긴장감과 피로도 완화시켜주는 단부터 단 조절 가능한 다리받침발 받침대가 키 크고 긴 아이도 안정된 자세를 잡아주니 ㅎㅎ 더 맘에 쏙요즘은 유모차와카시트에 되어있는 점식 안전벨트와 아이가 성장함에 따라 조절 가능한 단 어깨끈 높이 조절신생아약 개월까지 사용 가능하고 ㅎ유모차 무게가 .밖에 되지 않으니 ㅋㅋ 이보다 좋을 수가 ㅋㅋㅋ집에 쓰던 요야도 가볍다 생각했지만 무거움 .......ㅋㅋ 해외여행 갈 때 짐이었다는 .. ㅋ두 아이를 데리고 다니다 보니 ㅋㅋ 두 아이가 함께 사용할 수 있는 제품을 선택해야 하기에 ㅎ ], 긍정 텍스트 확률 : 100.00%"
"[ 유모차 개봉하는데 ㅋㅋ 유모차를 잡고 태워달라고 ㅋㅋ 요즘은 둘이서 완전 잘 놀아요 ㅎ누나가 앞에 타겠다고 ㅎㅎ 앞에 탔더니 ...ㅋㅋ뒤에서 동생이 내리려고 하고ㅋㅋ동생이 앞에 타니 ㅋㅋ 동생은 배 째라 하고ㅋㅋㅋ그래도 ㅋㅋ 둘이 나란히 앉았는데도 ㅋㅋ 충분한 공간 ㅋㅋ보통 휴대용 유모차나 절충형 유모차는 하나만 타도 공간이 좁아서 둘을 앉힐 수가 없는데 ... ㅋ요건 아이들이 태우라고 해서 태웠는데둘이 나란히 앉아도 공간이 충분하더라고요 ㅎㅎ저희 집에 ㅋㅋㅋㅋㅋㅋ 요 녀석이 와서ㅋㅋ 너무나 행복할 것 같은 ㅋㅋ], 긍정 텍스트 확률 : 86.39%"
"[이번에 여름휴가를 계획하면서 휴대용 유모차가 필요하게 되었어요지금 우리 뽀로는 스토케 윰차를 타고있는데아무래도 디럭스는 휴대하기엔 무리..특히 해외여행을 가려고 하니 기내반입 가능한 윰차가 필요해졌고], 긍정 텍스트 확률 : 90.00%"
"[ 이것저것 알아보던중 .?하이브리드유모차하이브리드유모차.?캐비플러스캐비플러스 요게 눈에 딱 들어왔네요 ㅎㅎ ], 긍정 텍스트 확률 : 67.16%"
"[ 얼른 타고 싶은 우리아기 ㅋㅋ ], 긍정 텍스트 확률 : 88.34%"
"[ 일부로 아기랑 유모차 크기 비교겸 옆에서 세워봤어요 ㅎㅎ ], 긍정 텍스트 확률 : 78.54%"
"[ 어때 세컨 윰차의 승차감은 만족스럽니? ㅎㅎ ], 긍정 텍스트 확률 : 57.38%"
"[ 바로 시승식겸 마트 갔다왔는데어쩜.. 골아떠진 우리아기 ㅎㅎ매우매우 편안한가봄 ㅎㅎ ], 긍정 텍스트 확률 : 99.30%"
"[ 맘에 들었던것은 저 다리 받침이 위로도 꺾이고], 긍정 텍스트 확률 : 77.17%"
"[ 사실 색상이 너무 이뻐서 고민이 많았는데], 긍정 텍스트 확률 : 82.96%"
"[ 뭔가 세컨 윰차니까 좀 이쁘게 태워주고 싶어서 ㅎㅎ브라운스톤으로 겟가죽포인트도 너무 좋고], 긍정 텍스트 확률 : 99.47%"
"[은은한 브라운 색상이 맘에 들었다 이제 해외여행갈때 잘 가지고 가면 최고일듯싶은 ㅎㅎ하이브리드 유모차휴대용 유모차로 추천합니다 ], 긍정 텍스트 확률 : 97.91%"
"[ 본 포스팅은 해당업체로부터 할인혜택을 받아 작성된 후기 입니다. ], 긍정 텍스트 확률 : 68.31%"
"[우리 꼬물이 유모차가 지금 두대나 있는데], 긍정 텍스트 확률 : 86.09%"
