"[ 이제는 매트 없는 곳은 위험하네요..요리할때도... 화장실 갈때도...설치 안하려고 했지만결국 베이비룸 설치 결정], 긍정 텍스트 확률 : 65.95%"
"[출산제왕절개 후 회복 기간이 월등히 수월했던 편이었다. 수술 후 바로 다음날부터 걸었고 일주일 정도 지나고는 거의 일상생활이 가능할 정도로. 그런데 조리원에서 집에올 때쯤], 긍정 텍스트 확률 : 96.99%"
"[그러니까 출산 후 일 경부터 갑자기 온몸의 마디마디가 삐걱거리기 시작했다. 특히 팔꿈치.. 팔꿈치는 생전 아파보지도 않은 부위인데 흑. 참다참다 산후보약을 지어왔다. 그 때문인지는 몰라도 지금 보약 먹은지 보름정도 지났는데 조금씩 호전되고있다. 상황봐서 달분 더 먹을지 생각 중이다...산모용품 외 ], 긍정 텍스트 확률 : 99.33%"
"[ 원.임신 전에 옷 사는걸 매우 즐겼는데], 긍정 텍스트 확률 : 91.92%"
"[ 원.임부용 팬티와 브라 그리고 수유나시 구매. 나중에는 브라도 답답해서 캡이 들어있는 수유나시를 구매해서 브라대신 그걸 입었다. 포장을 뜯지도 않은 팬티가 집에 너무 많아서 또 팬티를 사는게 너무 아까워서 최대한 버티다 임신 중기 때 어쩔 수 없이 샀는데 다시 돌아간다면 임신 초기부터 진작에 사서 뽕을 빼서 잘 입고 다닐걸 싶다. 편한게 최고..손목보호대 ], 긍정 텍스트 확률 : 75.31%"
"[ 원.산후조리원에서까지는 아기를 신생아실에서 거의 케어해주니 필요없었는데 집에오니 도우미 이모님 가시고 나서는 남편과 함께 조금씩 돌봐야했기 때문에 구매했는데], 긍정 텍스트 확률 : 98.37%"
"[ 원 강추.이름은 손목찜질팩인데 아까 말했듯 손목보다는 팔꿈치가 아파서 남편이 인터넷에서 찾아서 사줬다.제품인데 찍찍이가 달려서 손목], 긍정 텍스트 확률 : 66.50%"
"[양무릎에 할지 생각 중ㅋㅋ.튼살크림 ], 긍정 텍스트 확률 : 79.62%"
"[ 원.튼살크림은 사고싶어서 산건 아니고 그냥 튼살 생길까봐 임신확인하자마자 정말 극초기부터 열심히 발랐다. 튼살크림은 아무리 열심히 발라도 틀 사람은 트고], 긍정 텍스트 확률 : 66.06%"
"[아랫배가 꽤 많이 텄다. 임신 개월까지 안터서 안트나보다 했는데 개월차되니 우두두둑 터진 내 배ㅠㅠ 그래도 다시 돌아간대도 바르긴 바를 것 같다.수유패드 ], 긍정 텍스트 확률 : 98.44%"
"[양이 어마어마하게 많아서 하루에도 몇번씩 수유패드를 갈아줘야할 정도였다. 그래도 수유패드는 어쩔지 모르니 소량만 구매했다 나중에 봐서 더 구매하는게 좋을 듯하다..유축깔대기 ], 긍정 텍스트 확률 : 57.94%"
"[ 원.임신 전에도 열심히 챙겨먹은 영양제], 긍정 텍스트 확률 : 71.26%"
"[ 원 강추.이건 너무 편해서 따로 포스팅도 했었는데], 긍정 텍스트 확률 : 81.74%"
"[웬만하면 브레짜를 이용해서 분유를 탄다. 특히나 새벽수유 때는 필수.젖병소독기햇님 물려받음 필수.출산 전에는 왠지 젖병소독기보다는 열탕소독이 더 개운한 느낌이라 젖병은 매일 열탕소독 해주리라 생각했는데], 긍정 텍스트 확률 : 81.84%"
"[젖병소독기 매일 사용 중인데 지금은 이거 없었음 열탕소독 매일 해야했을텐데 어쨌을까싶다. 다시 돌아간다면 물려받을 곳이 없다면 무조건 샀을거다..젖병소독기 램프교체 ], 긍정 텍스트 확률 : 94.56%"
"[ 원.알고보니 교체안해도되는데 젖병소독기 조작법을 몰라 램프 나간줄알고 구매한 바보같은 지출ㅋㅋㅋㅋ.열탕냄비벨라쿠진 ], 긍정 텍스트 확률 : 83.58%"
"[ 원 필수.출산 전 야심차게 매일 젖병 열탕소독 해줄거라며 구매한 열탕냄비. 젖병소독기에 의지한 채 사흘에 한번 겨우 열탕소독하는데], 긍정 텍스트 확률 : 55.89%"
"[젖병 외에도 아기용품은 열탕소독하거나 삶을 일도 많고], 긍정 텍스트 확률 : 83.14%"
"[분유타는 생수는 한번 끓여 사용하는거라해서 아기 물 끓일 때도 이 냄비에 끓인다. 말 그대로 아기 전용 냄비로 사용 중이라 찝찝하지 않고 좋다..젖병유미젖병 단계꼭지포함], 긍정 텍스트 확률 : 68.56%"
"[ 원.젖병을 쓴다면 함께 준비해야하는 품목이 많다. 젖병세제도 종류가 많은데 나는 그냥 내가 자주 가는 위틀스토어에서 잡다한 용품들 함께 사면서 샀다. 웬만큼 거품도 잘 나고 괜찮다..젖병], 긍정 텍스트 확률 : 98.22%"
"[ .아기침대쁘띠라뺑 ], 긍정 텍스트 확률 : 53.51%"
"[ 원 강추.아기침대는 사용기간이 짧다하여 호불호가 강한 품목인데], 긍정 텍스트 확률 : 90.49%"
"[아직 뒤집기를 하기 전인 일 전 아기까지는 너무너무 잘 쓰고있어서 나한테는 필수 품목이다. 특히나 바닥생활을 하지 않는 우리집 라이프스타일에도 잘 맞고], 긍정 텍스트 확률 : 68.45%"
"[ 원필수.방수요는 여자아기는 필요없다는 의견도 있었지만], 긍정 텍스트 확률 : 81.39%"
"[아기침대사면서 같은 브랜드인 쁘띠라뺑에서 장만 구매했었다. 침대 매트리스에 대참사가 일어나면 안되기 때문에ㅎㅎ 육알못일수록 방수요는 꼭 필요하다. 기저귀 갈다가 이불을 버리는 일이 많아서 초반엔 이불빨래 매우매우 자주 함ㅠㅠ그러다 기저귀 갈이대에도 장 더 필요하고], 긍정 텍스트 확률 : 67.14%"
"[ 원.아기는 이불이 필요없다고해서 이불은 아예 사지도 않고 가볍게 블랭킷으로만 장정도 샀는데], 긍정 텍스트 확률 : 82.73%"
"[블랭킷은 만약 산다면 장이면 아직은 충분할 것 같다. 꽤 쌀쌀한 요즘 날씨에도 집은 꽤 따뜻하기도한데다 아기는 바디수트스와들업만 입고잔다. 이불은 질식 위험도 있고 이미 겹을 입은 아기에게는 너무 덥기때문에 필요없음. 다만 외출을 본격적으로 시작한다면 유모차에서 덮어줄 용도로는 필요할 것 같다. 굳이 하나 사고싶다면 블랭킷이나 이불보다는 깔끔한 아기패드 장 사면 잘 쓸 것 같다..수면등두두스토리 토이북에 포함되어 있음.수면등], 긍정 텍스트 확률 : 99.99%"
"[ 원 필수.아기를 씻겨야 하기 때문에 욕조는 필수다. 어떤 욕조를 살지는 개인의 판단이지만 나는 슈너글 만족스럽게 잘 쓰고있다..아기욕조 헹굼용다이소 ], 긍정 텍스트 확률 : 94.66%"
"[ 원 필수.헹굼용 욕조로 다이소 대야를 샀는데 헹굼용으로도 슈너글 개 더 있으면 더더 편할 것 같다..욕실의자다이소 ], 긍정 텍스트 확률 : 53.34%"
"[아기를 씻기려면 엄마아빠가 앉을 곳이 필요해서 욕실의자도 필수다. 다이소 욕실의자가 강추가 아니라 그냥 욕실의자라는 아이템 그 자체가 강추다ㅎㅎ.아기비데치코 ], 긍정 텍스트 확률 : 75.05%"
"[ 원 강추.아기 응가는 무조건 물로 씻기는데 하루에 최소 번은 대변을 볼테고], 긍정 텍스트 확률 : 93.19%"
"[나는 아침에 일어나서도 여기 눕혀서 자는 동안 오줌 기저귀로 힘들었을 엉덩이도 한번 씻겨주고 손도 이제 많이 빨기 때문에 한번씩 씻겨주는데 너무 잘 쓰고있다. 이게 없었다면 매번 내가 들어올린 상태로 씻겨야 할텐데 상상도 못하겠다..목욕타월밤부베베 장 ], 긍정 텍스트 확률 : 69.94%"
"[ 원.목욕 후 천기저귀를 수건으로 쓰면 된다고는 하지만 그래도 밤부베베 거즈손수건], 긍정 텍스트 확률 : 50.46%"
"[천기저귀가 짱이다 샀으니 아까워서 아기침대에 패드 대신도 깔아주기도 하고], 긍정 텍스트 확률 : 58.87%"
"[이제 날씨가 추워서 목욕 후 천기저귀보다는 목욕타월이 더 따뜻할테니 타월로 아기 감싸서 닦아주고 로션 발라주는데 다시 돌아간다면 안 살거다..샴푸워시키엘 선물받음 필수.샴푸워시도 욕조와 마찬가지로 출산 전 미리 사놔야한다. 필수 품목..목튜브스위마바 물려받음.일 정도부터 아기 수영 시켜주려면 필요하다. 물려받지 않았으면 하나 샀을 것 같다..세럼크림쁘리마쥬 태열키트 ], 긍정 텍스트 확률 : 95.64%"
"[수유시 턱받이로], 긍정 텍스트 확률 : 50.43%"
"[장까지는 필요없고 장정도면 충분하다..건티슈마더케이 레이온팩순면팩 ], 긍정 텍스트 확률 : 89.41%"
"[ 원 강추.요즘 물티슈도 말이 많아서 웬만하면 물티슈 사용 자제하고], 긍정 텍스트 확률 : 98.02%"
"[거즈손수건을 사용한다. 그런데 외출했을 때 얼굴은 거즈손수건으로 닦는다지만 응가 후 뒷처리는 어쩔 수 없이 물티슈를 사용해야하는데 이럴 때 물티슈 대신 건티슈를 사용하면 안심일 것 같아 샀다. 따뜻한 물 부으면 따뜻한 온티슈가 완성된다. 그런데 응가 뒷처리용보다 더 요긴하게 외출 시 아기 손이나 얼굴 닦아줄 때], 긍정 텍스트 확률 : 60.99%"
"[ .배냇저고리 벌 선물받음 필수.바디수트 벌 벌 선물받음 ], 긍정 텍스트 확률 : 67.30%"
"[ 원 필수.우주복 벌 선물받음 필수.내복 벌 선물받음.외출복 벌 선물받음.속싸개 장 선물받음.겉싸개 장 선물받음.모자 개 선물받음.손싸개 쌍쌍은 태교바느질로 직접만듬], 긍정 텍스트 확률 : 83.44%"
"[쌍은 선물받음.양말 켤레켤레 선물받음 ], 긍정 텍스트 확률 : 73.52%"
"[양말 켤레가 전부다. 그 이상은 아기가 토를 자주 한다거나해서 여러번 옷을 갈아입혀야 하는 경우 때에 따라 장 더 사면 될 듯하고], 긍정 텍스트 확률 : 76.08%"
"[우리집 기저귀갈이대 매트로 사용 중인 겉싸개ㅎㅎ..●외출용품 ], 긍정 텍스트 확률 : 96.92%"
"[ .유모차잉글레시나 디럭스 물려받음 필수.아기용품 중 아마 제일 높은 예산이 책정될 듯한 유모차. 나는 이 마저도 친척동생이 물려줬다. 사실 물려준 것도 아닌 거의 새거. 조카가 안타려고해서 거의 못태웠다고ㅠㅠ 나라도 써서 뽕빼라며ㅋㅋㅋㅋ 개월 정도까지 잘 태우고 나중에 절충형이나 휴대용으로 갈아탈 계획이다..바구니카시트페도라 ], 긍정 텍스트 확률 : 86.81%"
"[그래도 신생아는 일반 아기띠를 하기엔 너무나도 작다. 외출을 본격적으로 하게되면 아기띠도 쓸 일이 있을 것 같기는한데], 긍정 텍스트 확률 : 57.75%"
"[유모차를 아기가 잘 탄다면 나중에 필요해질 때 사도 괜찮을 것 같다. 아직까지 한번도 사용해보지 못한 아기띠ㅎㅎ 아기 때는 슬링이 더 유용하다...●교구장난감 ], 긍정 텍스트 확률 : 95.20%"
"[ 원.토이북도 꼭 미리 살 필요는 없고 태어나고나서 사도 충분하다. 나는 초점책부터 뽕을 뽑을 생각으로 미리 사서 잘 쓰고는 있다. 아기에게 이런저런 자극도 주고 놀아줄 무언가가 필요하다면 사도 좋다. 근데 엄마가 적극적으로 열심히 활용할 자신이 없다면 너무 어릴 때는 토이북이 필수는 아닌 듯 하다. 나는 최대한 장난감 사주는 것을 피하고], 긍정 텍스트 확률 : 69.83%"
"[책과 교구로 다양한 자극을 주고싶어서 구매했는데 만족한다..모빌타이니러브 물려받음 강추.모빌은 필수강추ㅋㅋㅋㅋ 바운서와 모빌조합으로 엄마 식사할 시간], 긍정 텍스트 확률 : 87.85%"
"[ 원 강추.외출 시 강추템. 짐을 확 덜어줘서 너무너무너무 편하다..수유시트알프레미오 ], 긍정 텍스트 확률 : 95.46%"
"[ 원 필수.기저귀는 무조건 필수], 긍정 텍스트 확률 : 50.79%"
"[그냥 생필품ㅋㅋ 그치만 어떤 사이즈를 살지는 조리원 퇴소쯤 아기 몸무게 보고 주문하기. .기저귀발진연고비판텐], 긍정 텍스트 확률 : 63.72%"
"[ 원.이것도 미리 살까하다 낳아보고 사자하고는 조리원에서부터 샀다. 신생아때 엉덩이 발진이 조금 있던터라 잘 썼고], 긍정 텍스트 확률 : 76.23%"
"[ 원.아기있는 집에 손소독제는 있으면 좋다. 아기 케어하기 전], 긍정 텍스트 확률 : 81.81%"
"[특히나 신생아 때는 무조건 손을 씻고 만졌다. 왜냐면 늘 핸드폰을 끼고 살기 때문에..ㅠㅠ 근데 손을 매번 물로 씻을 여유는 없다. 그럴 때 아기침대 위에 손소독제 올려두고 아기 만지기 전 손소독제 사용하면 간편하다. 이제 좀 컸다고 지금은 그 때만큼 잘 쓰지는 않지만], 긍정 텍스트 확률 : 91.26%"
"[그냥 생리식염수가 짱이다. 분사력이 너무 강해서 아기가 너무 싫어하고 나조차도 무서워서 한번쓰고 안쓴다..멸균바늘 ], 긍정 텍스트 확률 : 88.49%"
"[ 원 필수.해열제도 집에 구비해두면 안심이다. 예방접종 후에 열 날 때 혹은 아기가 갑자기 언제든 열이 날 수 있기 때문에. 아직 우리 아기는 열이 나서 해열제를 먹여본 적은 없지만 아기 상비약이라 생각함...●의류 ], 긍정 텍스트 확률 : 98.57%"
"[ 원 나머지 선물받음체험단강추.스와들업은 아기가 잘 맞으면 꿀아이템이고], 긍정 텍스트 확률 : 83.11%"
"[안입는다고 울어제끼면 무쓸모인 지극히 애바애 아이템이다ㅎㅎ 입혀보고싶으면 딱 벌만 사서 입혀보고 아기랑 잘 맞으면 사이즈별로 사서 잘 입히면 된다. 우리 아기는 무조건 필수템이라 일단 강추.헤어악세사리헤어밴드헤어삔 ], 긍정 텍스트 확률 : 93.24%"
"[ 원.지금까지의 의류 카테고리 지출 중 가장 높은 금액을 자랑함ㅋㅋㅋ 헤어밴드까지는 이해하나], 긍정 텍스트 확률 : 81.93%"
"[딸이에요 질문 피하려고 산거고ㅎㅎ 헤어삔은 빨리 꽂아주고 싶어서 사는김에 같이 사봤지만 언제나 꽂아줄 수 있으려나 싶다. 그래도 이런게 바로 딸 키우는 재미♥..●외출용품 ], 긍정 텍스트 확률 : 100.00%"
"[나도 좀 자유롭게 움직이고 싶을때 가끔 쓰는데 나 같은 경우엔 활용도가 너무 낮아서 다시 돌아간다면 안 살 것 같다..아기띠 침받이클라미엘 ], 긍정 텍스트 확률 : 82.80%"
"[유모차를 사용하지 못할 때 꼭 안고 다녀야할 때 잘 쓰려나 잘 모르겠다...●교구장난감 ], 긍정 텍스트 확률 : 51.08%"
"[식탁 옆에 뒀다 잘 사용했다. 근데 이제 아기도 뭔가를 다 아는지 분 이상은 안 있으려고 해서 이제는 아예 식탁 옆에 모빌이랑 함께 위치 고정해서 식사할 때 아기 옆에 앉혀두는 용으로 사용 중이다. 모빌은 여기저기 옮겨가며 보여주면 아기가 꽤 오래 보기도하는데 바운서는 사용기간이 정말 짧아서 물려받거나 중고로 사거나 대여하는게 합리적일 듯. 우린 처음에 대여를 생각하다가 여기저기 옮겨다닌 바운서 대여하느니], 긍정 텍스트 확률 : 62.82%"
"[집에서만 사용한 바운서가 더 상태가 좋을 것 같다는 판단으로 중고를 샀는데 지금 이미 달째 사용 중이니 대여 비용보다 경제적인 것 같다..아기체육관피셔프라이스 ], 긍정 텍스트 확률 : 91.55%"
"[소근육 발달에 좋기도 할 것 같다..역류방지쿠션마롤로뜨 체험단강추.바운서와 역류방지쿠션을 고민하다가 바운서를 선택했는데], 긍정 텍스트 확률 : 94.02%"
"[체험단 기회로 역류방지쿠션까지 들이게 되었다. 나의 경우 바운서보다 역류방지쿠션을 훨씬 더 잘 쓰고있다. 여기서 아기가 낮잠도 잘자고], 긍정 텍스트 확률 : 84.95%"
"[트림 후 침대에 눕히면 가끔 조금씩 게워내는데 역류방지쿠션에선 게워내지 않는다. 일 거의 다 되가는 시점에 들이게되서 너무 아쉬운데 다시 돌아간다면 신생아 때부터 미리 사서 더 오래 잘 썼을 것 같다..부스터 물려받음.아직 사용해보지 못해 모르겠지만], 긍정 텍스트 확률 : 84.15%"
"[ 원.대부분의 영양제가 그렇듯 눈에띄는 효과를 볼 수는 없지만], 긍정 텍스트 확률 : 75.40%"
"[목욕 후 발라줄 크림 정도만 아기옷 선물받은 상자에 정리해서 셀프 기저귀 교환대 옆에 두고 사용 중..분유포트.자동분유조유기인 베이비브레짜를 살 계획이라 사지 않았다. 베이비브레짜가 있으면 분유포트는 필요없다. 분유포트도 기본 만원 정도는 하니 그 비용 아껴서 베이비브레짜만원→만원에구매를 사서 편하게 쓰고있다고 합리화 중이다ㅋㅋㅋ 만약 베이비브레짜를 사지 않았다면 당연히 분유포트는 필수로 샀을거다..욕조세정제.인터넷에 나오는 출산준비물리스트에 있었는데], 긍정 텍스트 확률 : 59.56%"
"[필요없어 보여서 안샀다. 욕조 세척은 아기 목욕 후 아기 샴푸워시로 매일 닦아주고], 긍정 텍스트 확률 : 76.92%"
"[매트 위 넓고 평평한 곳에도 좀 눕혀줘야 할 것 같은 생각이 들었다. 그래서 사실 이 포스팅을 기록하는 사이 몇일 전에 이미 구매했다. 계획대로 아소방 제품으로], 긍정 텍스트 확률 : 67.19%"
"[가격 빼고는 다 장점이라는 평이 압도적이라 믿고 구매. 원래는 인테리어가 덜 아기집 같아지는 요즘 퍼즐매트로 유명한 쥬다르나 알로티 제품도 고민해봤는데 퍼즐매트의 특성상 청소], 긍정 텍스트 확률 : 78.78%"
"[출산준비물리스트 상세편 포스팅을 마친다. ], 긍정 텍스트 확률 : 52.48%"
"[쌍둥이 임신 주차입니다. 몸이 나아지지 않으면 어쩌나 했는데 목소리 빼고는 많이 좋아져서 당첨된 아이원맘 산모교실에 다녀오게되었어요. 영등포 페스타에서 오후 시부터 시작이 되었는데요. 부 육아 강의], 긍정 텍스트 확률 : 78.02%"
"[부 레크레이션], 긍정 텍스트 확률 : 56.44%"
"[ 영등포 페스타는 처음 와보는데요. 돌잔치 장소로 유명하더라구요. 동양타워 지하 층에 있는데 개별홀에 뷔페로 되어있어서 인기가 많은 곳인거 같아요. 평일에는 세미나나 산모교실 장소로도 자주 대관을 하는거 같기도 하구요. 선착순 명에게 특별선물이 있다고 해서 일부러 일찍 찾아갔는데요 순번에는 못 든거 같아요. 저보다 부지런한 산모님들이 많으셔서 번째로 입장을 했습니다.], 긍정 텍스트 확률 : 61.71%"
"[천사맘산후도우미], 긍정 텍스트 확률 : 73.88%"
"[현대해상태아보험], 긍정 텍스트 확률 : 51.18%"
"[에코산모사랑], 긍정 텍스트 확률 : 84.29%"
"[웅진북클럽에서 각각 나오셔서 친절하게 응대를 해주셨어요. 입장할때 아이원맘 대표님께서 업체상담을 꼭 할필요는 없으니 원하는 곳만 들리라고 하시더라구요. 어떤 산모교실은 무조건 참여를 해야만 선물을 주기도 하는데 아이원맘 산모교실은 자유로워서 좋더라구요.], 긍정 텍스트 확률 : 86.05%"
"[놀이매트 중에 하나 받을수 있었는데 신랑이 카드만들기를 거부해서 저는 참여를 못하게됐어요. ㅠㅠ ], 긍정 텍스트 확률 : 64.94%"
"[ 아이원맘 산모교실 부아기 오감 발달그림책 읽기 ], 긍정 텍스트 확률 : 85.62%"
"[ 부 육아강의는 웅진북클럽에서 나오셔서 진행을 해주셨는데요. 아기의 오감발달의 중요성과 가족과의 교감 그리고 책읽는게 얼마나 아기 뇌발달에 도움이 되지는지 등을 강의해주셨는데요. 정말 유익하고 좋더라구요. 태교도 중요하지만 출생후 아기의 뇌발달이 얼마나 급격하게 일어나는지 이번에 강의를 통해 처음으로 알게되었거든요. 육아는 정말 끝이 없다고 하는데 틈틈히 공부를 좀 해야할거 같아요. ], 긍정 텍스트 확률 : 93.67%"
"[ 아이원맘 산모교실 부레크레이션 ], 긍정 텍스트 확률 : 90.65%"
"[ 개그맨출신 사회자님과 함께 부 레크레이션을 하게되는데요. 앉아있는 테이블대로 한조를 이루어서 하는 게임시간이에요. 만세하면서 몸도 풀고 어색하기만 했던 옆에 산모님들과 게임을 통해서 친해지기도 하고 함께 웃으며 스트레스를 날리는 시간인데요. 정말 진행을 잘해주셔서 즐겁고 재미있더라구요. 게임마다 점수가 있는데 역시나 마지막 게임만 잘하면 등이 되더라구요. 다양한 게임을 하고 마지막 빙고게임으로 팀 대표가 무대 앞으로 나왔는데요. 춤과 끼를 뽐내면서 순위를 가리는데 보기만 해도 빵 터졌습니다. 참석하신 산모님 모두 즐거워하시더라구요. 정말 오랜만에 힐링타임이 아니었나싶어요. 아이원맘 레크레이션 강추 ], 긍정 텍스트 확률 : 100.00%"
"[ 아이원맘 산모교실 부경품추첨 ], 긍정 텍스트 확률 : 90.65%"
"[ 등 경품이 유모차였는데요. 저는 아기장난감에 당첨이 됐어요. 우리 햇님달님이가 운이 좋은지 산모교실 갈때마다 잘 당첨이 되는거 같아요. 쌍둥이라 하나를 더 준비해야할거 같지만 그래도 이렇게 채움의 태교를 매번 하니 뿌듯합니다. 옆에 앉으신 산모님께서 아이들이 정말 잘 가지고 노는 장난감이라고 당첨 잘 됐다며 함께 기뻐해주시더라구요 부 경품추첨 행사까지 모두 끝나고 참석자 전원에게 제공해주는 선물을 가지고 집으로 돌아왔습니다. 산모교실 갈때는 분명 아무것도 없는 빈손이었는데 집으로 갈때는 두손이 푸짐해졌습니다. 솔직히 이런 맛에 산모교실 오는거 아니겠어요? ㅎㅎ ], 긍정 텍스트 확률 : 93.46%"
"[ 아이원맘 산모교실 영등포 페스타선물 후기 ], 긍정 텍스트 확률 : 88.02%"
"[ 입장할때 받은 피셔프라이스 분리 턱받이 입니다. 방수로 되어있어서 뭐든 잘 흘리는 아이에게 밥 먹일때 유용하게 쓸수 있을거 같아요.], 긍정 텍스트 확률 : 85.16%"
"[ 참석자 전원에게 준 키친타올과 그린크린팩입니다. 주방에서 매일 쓰는 제품이다보니 소소하게 챙겨주는 이런 제품 하나도 알차도 좋은거 같아요. 당장 쓸수 있으니까요. ], 긍정 텍스트 확률 : 67.95%"
"[ 출장산후도우미 천사맘에서 받은 페넬로페 아기물티슈와 손수건입니다. 역시나 쌍둥이 맘이라고 개나 챙겨주셨어요. 산후도우미 금액이 얼마나 들지 몰라서 상담을 자세하게 받아보기도 했는데요. 쌍둥이는 기본 주까지 정부지원이 된다고 하더라구요. 출산일은 내년 월이지만 지금부터 알아봐야 원하는 도우미를 구할수 있다고 하니 여기저기 많이 문의를 해봐야겠어요. ], 긍정 텍스트 확률 : 54.28%"
"[ 현대해상에서 설문지만 작성하고 받은 손수건이에요. 보험가입여부와 중요시하는거 등등 작성만 하면 주더라구요.], 긍정 텍스트 확률 : 79.18%"
